station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
31102,20,11th & Kenyon St NW,36,-16,44.44444444444444
31104,19,Adams Mill & Columbia Rd NW,8,11,137.5
31105,8,14th & Harvard St NW,16,-8,50.0
31106,10,Calvert & Biltmore St NW,15,-5,33.33333333333333
31107,19,Lamont & Mt Pleasant NW,11,8,72.72727272727273
31108,22,4th & M St SW,21,1,4.761904761904762
31109,13,7th St & Florida Ave NW,6,7,116.66666666666667
31110,10,20th St & Florida Ave NW,9,1,11.11111111111111
31111,16,10th & U St NW,13,3,23.076923076923077
31112,18,Harvard St & Adams Mill Rd NW,11,7,63.63636363636363
31113,16,Columbia Rd & Belmont St NW,10,6,60.0
31114,18,18th St & Wyoming Ave NW,9,9,100.0
31115,12,Columbia Rd & Georgia Ave NW,13,-1,7.6923076923076925
31116,18,California St & Florida Ave NW,10,8,80.0
31117,19,15th & Euclid St NW,6,13,216.66666666666666
31118,14,3rd & Elm St NW,2,12,600.0
31119,19,14th & Belmont St NW,15,4,26.666666666666668
31120,14,10th St & Florida Ave NW,9,5,55.55555555555556
31121,14,Calvert St & Woodley Pl NW,14,0,0.0
31122,12,16th & Irving St NW,7,5,71.42857142857143
31123,12,14th & Girard St NW,14,-2,14.285714285714285
31124,23,14th & Irving St NW,23,0,0.0
31125,23,15th & W St NW,7,16,228.57142857142856
31126,16,11th & Girard St NW,8,8,100.0
31127,16,22nd & H St NW,10,6,60.0
31128,17,23rd & M St NW,14,3,21.428571428571427
31129,20,15th St & Pennsylvania Ave NW,5,15,300.0
31130,11,7th & S St NW,11,0,0.0
31131,11,14th & Otis Pl NW,11,0,0.0
31132,18,13th & U St NW,12,6,50.0
31133,13,20th St & Columbia Rd NW,8,5,62.5
31134,17,8th & V St NW,12,5,41.66666666666667
31135,13,16th & Harvard St NW,18,-5,27.77777777777778
31136,11,11th & Clifton St NW,19,-8,42.10526315789473
31137,8,Park Pl & Rock Creek Church Rd NW,14,-6,42.857142857142854
31138,6,4th & College St NW,7,-1,14.285714285714285
31139,9,20th & M St NW ,11,-2,18.181818181818183
31140,7,21st & L St NW ,14,-7,50.0
